Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.93      0.17     0.17 37653761     0.00     0.00  BigInteger::add3(unsigned int, unsigned int, unsigned int, unsigned int*)
 11.48      0.31     0.14    49165     0.00     0.01  operator*(BigInteger const&, unsigned int)
  9.84      0.43     0.12 73202153     0.00     0.00  BigInteger::operator[](unsigned long) const
  8.20      0.53     0.10 62498478     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  8.20      0.63     0.10 60322319     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  6.56      0.71     0.08 18248478     0.00     0.00  BigInteger::mul2(unsigned int, unsigned int, unsigned int*)
  5.74      0.78     0.07 73338118     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  5.74      0.85     0.07                             _init
  4.10      0.90     0.05 15825446     0.00     0.00  BigInteger::add2(unsigned int, unsigned int, unsigned int*)
  4.10      0.95     0.05   605329     0.00     0.00  __gnu_cxx::__enable_if<__is_scalar<unsigned int>::__value, void>::__type std::__fill_a1<unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int const&)
  3.28      0.99     0.04    88287     0.00     0.01  BigInteger::addAbs(BigInteger const&, BigInteger const&)
  2.46      1.02     0.03 59481818     0.00     0.00  BigInteger::size() const
  2.46      1.05     0.03  1070887     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  1.64      1.07     0.02  1435026     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin() const
  1.64      1.09     0.02   746486     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  1.64      1.11     0.02   613895     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int const, unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
  1.64      1.13     0.02   613895     0.00     0.00  unsigned int* std::__copy_move_a2<false, unsigned int const*, unsigned int*>(unsigned int const*, unsigned int const*, unsigned int*)
  1.64      1.15     0.02   282022     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.82      1.16     0.01  2184810     0.00     0.00  unsigned int* std::__niter_base<unsigned int*>(unsigned int*)
  0.82      1.17     0.01  1797335     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.82      1.18     0.01  1070787     0.00     0.00  void std::_Destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.82      1.19     0.01   983701     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.82      1.20     0.01   821131     0.00     0.00  bool __gnu_cxx::operator==<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.82      1.21     0.01   560322     0.00     0.00  unsigned int* std::uninitialized_copy<std::move_iterator<unsigned int*>, unsigned int*>(std::move_iterator<unsigned int*>, std::move_iterator<unsigned int*>, unsigned int*)
  0.82      1.22     0.01   472902     0.00     0.00  unsigned int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*, unsigned int>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*, std::allocator<unsigned int>&)
  0.00      1.22     0.00  2870184     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int const* const&)
  0.00      1.22     0.00  2870052     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      1.22     0.00  2851868     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      1.22     0.00  1435092     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end() const
  0.00      1.22     0.00  1227790     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      1.22     0.00  1227790     0.00     0.00  unsigned int const* std::__niter_base<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      1.22     0.00  1140872     0.00     0.00  unsigned int* std::__miter_base<unsigned int*>(unsigned int*)
  0.00      1.22     0.00  1120644     0.00     0.00  std::move_iterator<unsigned int*>::base() const &
  0.00      1.22     0.00  1120644     0.00     0.00  std::move_iterator<unsigned int*>::move_iterator(unsigned int*)
  0.00      1.22     0.00  1120644     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<unsigned int*>(std::move_iterator<unsigned int*>)
  0.00      1.22     0.00  1113200     0.00     0.00  std::move_iterator<unsigned int*> std::__make_move_if_noexcept_iterator<unsigned int, std::move_iterator<unsigned int*> >(unsigned int*)
  0.00      1.22     0.00  1070887     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      1.22     0.00  1070887     0.00     0.00  std::__new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      1.22     0.00  1070887     0.00     0.00  std::__new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      1.22     0.00  1070787     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      1.22     0.00  1043338     0.00     0.00  unsigned int* std::__niter_wrap<unsigned int*>(unsigned int* const&, unsigned int*)
  0.00      1.22     0.00   971043     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end()
  0.00      1.22     0.00   876728     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.22     0.00   876385     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      1.22     0.00   821131     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::empty() const
  0.00      1.22     0.00   746486     0.00     0.00  BigInteger::~BigInteger()
  0.00      1.22     0.00   746486     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl(std::allocator<unsigned int> const&)
  0.00      1.22     0.00   746486     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00      1.22     0.00   746486     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_create_storage(unsigned long)
