Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.84      0.09     0.09    49165     0.00     0.01  operator*(BigInteger const&, unsigned int)
  9.04      0.17     0.07 37653761     0.00     0.00  BigInteger::add3(unsigned int, unsigned int, unsigned int, unsigned int*)
  8.43      0.23     0.07 73202153     0.00     0.00  BigInteger::operator[](unsigned long) const
  8.43      0.30     0.07 62771942     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  7.83      0.37     0.07 73338118     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  7.23      0.43     0.06   605669     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned int>::__value, void>::__type std::__fill_a1<unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int const&)
  7.23      0.49     0.06    88287     0.00     0.00  BigInteger::addAbs(BigInteger const&, BigInteger const&)
  6.63      0.55     0.06 60322319     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  3.61      0.57     0.03 59481818     0.00     0.00  BigInteger::size() const
  3.61      0.60     0.03 18248478     0.00     0.00  BigInteger::mul2(unsigned int, unsigned int, unsigned int*)
  3.61      0.64     0.03                             _init
  2.41      0.66     0.02  1774082     0.00     0.00  unsigned int const* std::__niter_base<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  1.81      0.67     0.01    40459     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long) const
  1.20      0.68     0.01  1344047     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  1.20      0.69     0.01  1019630     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl_data::_Vector_impl_data()
  1.20      0.70     0.01  1019630     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  1.20      0.71     0.01   971369     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end()
  1.20      0.72     0.01   745722     0.00     0.00  unsigned int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  1.20      0.73     0.01   745722     0.00     0.00  unsigned int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
  1.20      0.74     0.01   745722     0.00     0.00  unsigned int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*, unsigned int>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*, std::allocator<unsigned int>&)
  1.20      0.75     0.01   601947     0.00     0.00  unsigned int* std::__fill_n_a<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&, std::random_access_iterator_tag)
  1.20      0.76     0.01   601947     0.00     0.00  unsigned int* std::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  1.20      0.77     0.01   560322     0.00     0.00  unsigned int* std::__uninitialized_copy_a<std::move_iterator<unsigned int*>, unsigned int*, unsigned int>(std::move_iterator<unsigned int*>, std::move_iterator<unsigned int*>, unsigned int*, std::allocator<unsigned int>&)
  1.20      0.78     0.01   319925     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_initialize(unsigned long, unsigned int const&)
  1.20      0.79     0.01   193910     0.00     0.00  BigInteger::rlz()
  1.20      0.80     0.01    49165     0.00     0.00  BigInteger::left_shift_digit(unsigned long)
  1.20      0.81     0.01     3622     0.00     0.00  operator/(BigInteger const&, unsigned int)
  0.60      0.81     0.01 15825446     0.00     0.00  BigInteger::add2(unsigned int, unsigned int, unsigned int*)
  0.60      0.82     0.01  1708172     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin() const
  0.60      0.82     0.01  1256505     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.60      0.83     0.01   699705     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::vector(std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.83     0.00  4219396     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.83     0.00  3416476     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int const* const&)
  0.00      0.83     0.00  3416344     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
